,speeding_score,straightlining_score,average_rating,rating_range,word_count,lexical_diversity,text_quality_score,inconsistency_score,attention_score,overall_quality_score
count,6028.0,6028.0,6028.0,6028.0,5994.0,6028.0,5994.0,6028.0,6028.0,5994.0
mean,23.139587400846654,73.87296781685468,3.3640676841406765,2.1716987392169873,9.37037037037037,0.9840764466676876,68.34417994755547,12.201393497013935,67.31917717319178,36.708209088894016
std,25.800214816292232,20.843681391510273,0.8188359388411154,1.2917840853887563,5.417213323889415,0.07892845873808306,38.204310363598175,17.714704896948998,46.90854009401011,20.311516194247183
min,0.0,0.0,1.0,0.0,1.0,0.0,5.111976630963973,0.0,0.0,13.020833333333337
25%,0.0,62.500000000000014,3.0,1.0,2.0,1.0,17.185978578383644,0.0,0.0,21.354166666666668
50%,11.683667792979918,72.91666666666667,3.4,3.0,12.0,1.0,89.19182083739045,0.0,100.0,26.188556003979794
75%,46.88424384579356,93.75,3.8,3.0,14.0,1.0,100.0,25.0,100.0,61.66161748144401
max,77.60900517771907,100.0,5.0,4.0,16.0,1.0,100.0,50.0,100.0,76.71026754919535
